"last_name, first_name","pitcher","ff_avg_speed","si_avg_speed","fc_avg_speed","sl_avg_speed","ch_avg_speed","cu_avg_speed","fs_avg_speed","kn_avg_speed","st_avg_speed","sv_avg_speed"
"Burnes, Corbin","669203","96.1","96.2","95","88.2","90.3","81.6",,,,
"Cole, Gerrit","543037","97.8",,"92","88.7","89.7","83",,,,
"Alcantara, Sandy","645261","98","97.8",,"90","91.8","86.2",,,,
"Mikolas, Miles","571945","93.5","93",,"87.7","82.7","76",,,,
"Wainwright, Adam","425794","88","88.6","84.3","75.3","82.2","72.8",,,,
"Cease, Dylan","656302","96.8","96.5",,"87.4","77.9","81.1",,,,
"Pivetta, Nick","601713","93.4",,"86.2","83","91.9","77.2","87",,,
"Kelly, Merrill","518876","92.6","92.5","90.8","85","88.6","82.2",,,,
"Ray, Robbie","592662","93.4","93.3",,"87.2","86.9","79.7",,,,
"Nola, Aaron","605400","92.8","92.2","86.8",,"85.9","78.6",,,,
"Valdez, Framber","664285","94","93.9",,"83","88.8","79.2",,,,
"Gilbert, Logan","669302","96.1","94.7",,"86.9","86.2","80.8",,,,
"Webb, Logan","657277","92.4","91.8",,,"86.4",,,,"82.5",
"Lyles, Jordan","543475","91.8","90.8","84.9",,"86.3","79.1",,,"80",
"Rodón, Carlos","607074","95.5",,,"85.4","84.6","79.8",,,,
"Pérez, Martín","527048","92.7","92.6","89.9","84.5","84.4","78.8",,,,
"Darvish, Yu","506433","95","94.7","90.7","86",,"76.1","89.2",,"82.7",
"Manoah, Alek","666201","93.9","93.3",,"81.5","86.5",,,,,
"Gallen, Zac","668678","94.1","94.7","89.9","86.7","86.2","81.6",,,,
"Quantrill, Cal","615698","93.5","93.6","88.5",,"85.3","82.7","83.2",,,
"López, Pablo","641154","93.5","93.4","88.7",,"87.5","80.9",,,,
"Morton, Charlie","450203","94.9","94.7","88.4",,"87.2","81.3",,,,
"Bassitt, Chris","605135","93.2","92.8","89","82.7","85.4","71.6",,,"75.2",
"Bieber, Shane","669456","91.3",,"86.9","85","86.4","82",,,,
"Márquez, Germán","608566","95.6","95.1",,"87.7","87.8","86.5",,,,
"Freeland, Kyle","607536","90.2","89.6",,"85.4","84.8","80.9",,,,
"Gonzales, Marco","594835","88.5",,"86.1",,"79.4","76.6",,,,
"Musgrove, Joe","605397","92.9","92.4","90.1","82.9","86.5","81.3",,,,
"Fried, Max","608331","94","93.6",,"87.3","86.5","74.2",,,"80",
"McKenzie, Triston","663474","92.5",,,"87.3",,"79.4",,,,
"Taillon, Jameson","592791","94.1","94.2","90.7","86.1","87.8","81.1",,,"84.1",
"Gausman, Kevin","592332","95",,,"84.4","84.5",,"85.2",,,
"Giolito, Lucas","608337","92.6",,,"84.4","81","79.2",,,,
"Gibson, Kyle","502043","92","91.7","89.4","83.4","84.7","79.1",,,"82.9",
"Quintana, Jose","500779","91.2","91.4",,,"86.4","78.3",,,,"78.6"
"Berríos, José","621244","94","93.9",,,"84.6",,,,,"82.9"
"Montgomery, Jordan","656756","93","93","88.3",,"82.3","80.2",,,,
"Bumgarner, Madison","518516","91.2","90.8","87.4","83.3","85.5","78.6",,,,
"Wright, Kyle","657140","95.1","94.4",,"90.1","88.1","84.7",,,,
"Lauer, Eric","641778","93.3",,"89.7","86.7","87.2","78.2",,,,
"Keller, Mitch","656605","95.5","94.4",,"87.1","91.2","78.7",,,"83.2",
"Urquidy, José","664353","93.5",,"87.4",,"86.1","78.1",,,"80.1",
"Ohtani, Shohei","660271","97.3","97.2","90.7","85.2",,"77.6","89.3",,"85.3",
"Corbin, Patrick","571578","92.1","92.8",,"81.7","82.4","74.2",,,,
"Urías, Julio","628711","93.1",,,,"86.2",,,,,"80.9"
"Irvin, Cole","608344","90.7","90.3","87.1",,"83","77.5",,,,
"Verlander, Justin","434378","95",,,"87.4","86.2","79",,,,
"Gray, Josiah","680686","94.4","94.8","87.4","85.8","88.1","82.7",,,,
"Anderson, Tyler","542881","90.7","89","85.7",,"79","73.2",,,,
"Suárez, Ranger","624133","93.2","92.5","89.4","82.4","84.9","76.6",,,,
"Javier, Cristian","664299","93.8",,,"79.9","85.2","76.5",,,,
"Dunning, Dane","641540","89.4","89.5","87.1","78.8","84","80.1",,,"77.1",
"Woodruff, Brandon","605540","96.3","95.8",,"88","86.1","84",,,,
"Castillo, Luis","622491","97.1","96.9",,"86.5","88.4",,,,,
"Walker, Taijuan","592836","93.7","92.9","88.4","84.9",,"75","88.8",,"83.2",
"Manaea, Sean","640455","91.3","90.8",,"81.6","84.9","80.7",,,"77.3",
"Garcia, Luis","677651","94","90.6","85.3","79.5","84.8","77.1",,,,
"Cortes, Nestor","641482","91.8","90.7","86.9",,"82.9","72.1",,,"77.1",
"McClanahan, Shane","663556","96.7",,,"89.3","87.7","82",,,,
"Sandoval, Patrick","663776","93.1","93.4",,"86.3","83.7","78.6",,,,
"Kluber, Corey","446372","88.9","88.9","86.3",,"82.9","80.7",,,,
"Lynch IV, Daniel","663738","94","93.4",,"86","84.8","81.6",,,,
"Fedde, Erick","607200",,"92.6","89.2",,"86","78.4",,,,
