"last_name, first_name","pitcher","ff_avg_speed","si_avg_speed","fc_avg_speed","sl_avg_speed","ch_avg_speed","cu_avg_speed","fs_avg_speed","kn_avg_speed","st_avg_speed","sv_avg_speed"
"Cole, Gerrit","543037","96.7",,"92.7","89.1","89.1","82.9",,,,
"Cease, Dylan","656302","95.6",,,"86.3","74.6","80.2",,,,
"Gallen, Zac","668678","93.6","93","90.2","87.4","86.8","82.5",,,,
"Castillo, Luis","622491","96.3","95.9",,"85.7","88.3",,,,,
"Mikolas, Miles","571945","93.3","92.7",,"86.4","84.4","75.8",,,,
"Giolito, Lucas","608337","93.1",,,"84","80.9","77.9",,,,
"Webb, Logan","657277","92.6","92.3",,,"87.5",,,,"84.3",
"Snell, Blake","605483","95.5",,,"88.4","86.7","81",,,,
"Lynn, Lance","458681","92.4","91.4","88.7","83.1","84.9","80.8",,,"81.3",
"Wheeler, Zack","554430","95.8","95.2","90.9",,"90.8","81.4",,,"84.4",
"Bassitt, Chris","605135","92.4","91.9","87.8","80.3","84.1","70.7","82.6",,"73.2",
"Keller, Mitch","656605","95.2","93.9","89.7",,"90.7","78",,,"82.8",
"Strider, Spencer","675911","97.2",,,"85.6","87",,,,,
"Nola, Aaron","605400","92.7","91.8","86.3",,"85.9","79.4",,,,
"Burnes, Corbin","669203",,"95.3","94.4","86","89.3","79.8",,,,
"Gausman, Kevin","592332","94.7",,,"84",,,"86.3",,"77.6",
"Gibson, Kyle","502043","92.1","91.9","89.8",,"85.5","79.5",,,"81.6",
"López, Pablo","641154","94.9","94.5",,,"88.4","82.5",,,"84.4",
"Luzardo, Jesús","666200","96.7","96.5","91.4","85.1","88.3",,,,,
"Oviedo, Johan","670912","95.8","95.7",,"88.2","88.1","80.9",,,,
"Valdez, Framber","664285","95.7","95.3","89.1","84.7","90.1","80.2",,,,
"Berríos, José","621244","94.3","93.8",,,"84.1",,,,,"82.6"
"Kremer, Dean","665152","94.6","91.9","88.8",,"85.3","78.1",,,"82.8",
"Corbin, Patrick","571578","91.8","92.1",,"80.5","81.2",,,,,
"Gilbert, Logan","669302","95.7","93.7",,"88.7",,"80.3","85.6",,,
"Montgomery, Jordan","656756","93.3","93.3","88.2",,"83.5","80.5",,,,
"Javier, Cristian","664299","92.7",,,"79.5","83.7","76.6",,,,
"Sears, JP","676664","93.1","92.1",,"82.1","84.1",,,,"81",
"Elder, Bryce","693821","90.7","89.5",,"82.7","85",,,,,
"Morton, Charlie","450203","94.9","94.2","89.1",,"86","82.3",,,,
"Peralta, Freddy","642547","94.4",,,"82.4","88.6","76.9",,,,
"Walker, Taijuan","592836","92.8","92.4","87.1",,,"74.8","87.9",,"82.5",
"Kirby, George","669923","96.1","95.8",,"86.3","86.6","81.8","84.9","75.1",,
"Gray, Sonny","543243","92.9","92.8","87.6",,"87.9","79.5",,,"84.3",
"Kikuchi, Yusei","579328","95.1",,,"88.7","88.7","83.1",,,,
"Lyles, Jordan","543475","91.2","90.5","86.8",,"85.5","79.4",,,"80.2",
"Gray, Josiah","680686","93.5","93.1","88.8","85.9","88.6","82.2",,,"81.9",
"Kelly, Merrill","518876","92.2","92.4","90.8","85.4","88.7","82.1",,,,
"Senga, Kodai","673540","95.7",,"90.8","84.6",,"72.8",,,"80.9",
"Alcantara, Sandy","645261","98","97.6",,"89.9","91.1","86.1",,,,
"Brown, Hunter","686613","95.7","96","91.7",,,"82.9","88.2",,"84.6",
"Schmidt, Clarke","657376",,"93.4","91.3",,"89.4","83.7",,,"86",
"Dunning, Dane","641540","90.5","91","88.9","82.1","85.7","77.7",,,,
"Ryan, Joe","657746","92.3",,,"83.3",,,"83.9",,"79.2",
"Steele, Justin","657006","91.8","92.2",,"83.3","87.5","80.7",,,,
"Bradish, Kyle","680694","94.5","95",,"88.1","90.8","84.8",,,,
"Flaherty, Jack","656427","93.1","90.1","88.7","84.2","85.3","76.2",,,,
"Williams, Trevor","592866","89.7","88.2",,"81.7","83.3","76.7",,,"76.7",
"Sandoval, Patrick","663776","93","93.2",,"87","83","76.5",,,"81.8",
"Bello, Brayan","678394","95.5","95","89.1","85.3","86.2",,,,,
"Singer, Brady","663903","90.9","92.1",,"84","87.7",,,,"81.2",
"Heaney, Andrew","571760","92.5",,,"82","84","74.4",,,,
"Verlander, Justin","434378","94.3",,,"86.9","85.2","78.2",,,,
"Detmers, Reid","672282","94.3",,,"88.9","84.8","74.7",,,"83.5",
"Eflin, Zach","621107","92.9","92.2","88.5","84.1","86.4","79.1",,,"79.7",
"Waldichuk, Ken","686610","93.3",,,,"84.2","74.5",,,"81.1",
"Taillon, Jameson","592791","93.7","94","88.6","82.2","86.5","80.5",,,"80.9",
"Hill, Rich","448179","88.4","86.1","83.3","77.3","83","71.9",,,"69.4",
"Cobb, Alex","502171","95.8","94.5",,"86.2",,"83.6","89.5",,,
"Garrett, Braxton","666129","90.8","90.5","87.5","82.8","84.1","77.6",,,,
"Scherzer, Max","453286","93.7",,"88.4","84","83.8","75.4",,,,
"Gore, MacKenzie","669022","95",,,"88.6","86.5","83.2",,,"84.6",
"Anderson, Tyler","542881","90.1","88.5","85.1","78.3","80","72.9",,,,
"Kopech, Michael","656629","95.2",,,"84.8","88.7","80.6",,,,
"Freeland, Kyle","607536","88.8","88.7",,"84.1","84.3","80.6",,,,
"Smyly, Drew","592767",,"91.9","88.6",,,"78.6",,,,
"Gray, Jon","592351","95.7",,,"88","88.8","78.2",,,"83.3",
"Pivetta, Nick","601713","94.6",,"88.3","86.6",,"79.4","84.8",,"84.2",
"Lugo, Seth","607625","93.4","93.2",,"85.8","86.3","79.5",,,"82.3","80.6"
"Rodriguez, Eduardo","593958","92.2","92.4","88.8","84.5","85.9",,,,,
"Lorenzen, Michael","547179","94.3","93.7","90.8","85.2","84.5","82.3",,,"83",
"Nelson, Ryne","669194","94.4",,"85.6","81.7","83.3","76.4",,,,
"Ober, Bailey","641927","91.3",,,"81","83.7","77.5",,,,
"Bibee, Tanner","676440","94.9",,,"84.7","83.8","78.4",,,,
"Ashcraft, Graham","668933",,"96.5","95.8","88.3","90.4",,,,,
"Weaver, Luke","596133","94",,"90.3","86.5","86.1","81.6",,,"83.2",
"Megill, Tylor","656731","94.9",,,"84.4","87.9","77.2","86.1",,,
"Eovaldi, Nathan","543135","95.1",,"90.6","83.9",,"76","87.9",,,
"Pérez, Martín","527048","91.8","91.6","89.2","83.4","84.1","79.1",,,,
"Wacha, Michael","608379","92","91.9","86.9",,"81.6","74",,,,
"Greinke, Zack","425844","89.5","89.8","85.2","79.2","86.5","72.4",,,,
"Darvish, Yu","506433","94.7","94.3","90.9","85.7","82.3","76.3","89.2",,"82.4",
"Stroman, Marcus","573186","92","91.4","89.7","86.1",,,"86.6",,,"84.6"
"France, J.P.","641585","93",,"86.8",,"81.8","76",,,"80.1",
"Gomber, Austin","596295","90.6","90.8",,"84.8","81.6","77.6",,,,
"Irvin, Jake","663623","94.5","93.9",,,"87.8","80.9",,,,
"Allen, Logan","671106","91.4",,"86.3","83.6","82.7",,,,"78.8",
"Hendricks, Kyle","543294","87.8","87.5",,,"80.7","73.3",,,,
"Rodriguez, Grayson","680570","97.4",,"90","87.4","83.9","79.9",,,"82.3",
"Clevinger, Mike","605182","94.3","93.3","85","79.4","86.1","76",,,,
"Crawford, Kutter","676710","93.6",,"88.6","82.9",,"79.4","82.4",,"82.2",
"Ohtani, Shohei","660271","96.8","94.6","88.5","85.5",,"75.7","88.6",,"83.6",
"Miller, Bryce","682243","95.1","95.1",,"86.6","85","78.2",,,"81.2",
"Greene, Hunter","668881","98.3",,,"87.3","91.1",,,,,
"Canning, Griffin","656288","94.7","95",,"88.4","90.2","81.8",,,,
"Manaea, Sean","640455","93.6","94","90.3","84.4","86.6",,,,"79.8",
"Kershaw, Clayton","477132","90.7","90.9",,"86.5","84.6","73.4","84.4",,,
"Suárez, Ranger","624133","93.4","92.8","87.5","84.1","82.9","75.8",,,,
"Rea, Colin","607067","93.2","92.6","86.7",,,"78.8","86",,"83.1",
"Civale, Aaron","650644","91.8","92.4","87.7","82.5",,"78.1","85.2",,,
"Peterson, David","656849","92.7","91.5",,"85.3","85.3","78.6",,,,
"Miller, Bobby","676272","99","98.8",,"89.9","88.2","80.6",,,"85.3",
"Bieber, Shane","669456","91.3",,"86.5","84.6","87.2","82.5",,,,
"Medina, Luis","665622","96.1","95.5",,"85.3","87.3","79.6",,,,
"Williamson, Brandon","682227","92.8",,"89.3","83.4","84","73.1",,,"81.6",
"Wentz, Joey","666214","93.4",,"86",,"85","77.5",,,,
"Wells, Tyler","669330","92.5",,"88.7","84","85.4","74.1",,,,
"Abbott, Andrew","671096","92.7",,,,"86.6","80.9",,,"82.9",
"Glasnow, Tyler","607192","96.4","96.4",,"90.1","92.3","83.9",,,,
"Blackburn, Paul","621112","91.9","91.8","88.9","80.8","86","79.1",,,,
"Miley, Wade","489119","90.4","90.7","87.1","79.1","83.7","75.8",,,,
"Matz, Steven","571927",,"94.1",,"88.9","84.2","78.5",,,,
"Houser, Adrian","605288","93.4","92.1",,"82.3","84.3","79.4",,,,
"Urías, Julio","628711","92.7",,"87.1",,"86.1",,,,,"79.2"
"Bradley, Taj","671737","96.1",,"88.9",,,"79","89.3",,,
"McClanahan, Shane","663556","96.8",,,"89.3","86.9","83.5",,,,
"Cabrera, Edward","665795","96.2","96.1",,"88.2","92.9","84.6",,,,
"Wainwright, Adam","425794","85.7","86.9","82.9","75.8","81.5","71.5",,,,
"Flexen, Chris","623167","91.9","90.9","87.9","81.5","81","71.7",,,"79.3",
"Martinez, Nick","607259","93.3","92.9","89.5","84.5","80.7","81.8",,,,
"Olson, Reese","681857","94.8","94.8",,"84.8","87.8","78.8",,,,
"Houck, Tanner","656557","93.9","93.4","91.3","83.9",,,"87.6",,,
"Assad, Javier","665871","93.1","92.7","89.1","80.6","85","76.5",,,,
"Quantrill, Cal","615698","93.8","93.7","88.1",,"86.1","82","86.8",,,
"Wood, Alex","622072",,"91.5",,"82.4","85.2",,,,,
"Maeda, Kenta","628317","91","90.3",,"82.1",,"76.4","84.1",,"80.3",
"Paxton, James","572020","95.2","94.9","85.8",,"84.4","81.3",,,,
"Manoah, Alek","666201","92.8","92.6",,"80.8","86.3",,,,,
"King, Michael","650633","94.7","94",,,"87.2",,,,"81.8",
"Sale, Chris","519242","93.9","93.3",,"77.8","86.1",,,,,
"Gonsolin, Tony","664062","92.4",,,"86.8",,"80.9","83",,,
"Germán, Domingo","593334","92.3","92.4",,,"85.8","82.9",,,,
"Severino, Luis","622663","96.5","95.7","90.8","84.7","86.7",,,,,
"Pfaadt, Brandon","694297","93.7","93.1",,,"86.7","78.8",,,"83.8",
"Toussaint, Touki","657053","93.6","92.9",,"86.6",,"76.1","87.5",,,
"Carrasco, Carlos","471911","92.7","91.5","89.5","84.2","87.2","80.1",,,"82.9",
"Ragans, Cole","666142","96.5",,"91.8","86.6","86.6","81.8",,,,
"Seabold, Connor","657756","92.6",,,"85.3","80.6","78.7",,,,
"Musgrove, Joe","605397","93.1","92.8","90.1","82.2","87.1","81.3",,,,
"DeSclafani, Anthony","543101","93.2","93.1",,"87.4","86.4","82.2",,,,
"Pérez, Eury","691587","97.5",,,"86.4","89.7","81.2",,,,
"Davies, Zach","605200","89.3","89.6","87.5","81.7","80.7","77.1",,,"78.7",
"Curry, Xzavion","675540","92.5",,,"85.1","87.7","75.1",,,,
"Wesneski, Hayden","669713","94.3","92.9","88.8","84.6","84.5",,,,"82",
"Ortiz, Luis L.","682847","96.2","95.7","92.6","85.8","89.7",,,,,
"Sánchez, Cristopher","650911",,"92.1",,"82.7","81.8",,,,,
"Muller, Kyle","666205","93.5",,,"87.1","87.9","81.2",,,,
"Stripling, Ross","548389","92.5","90.3",,"87.2","83.7","75.9","85.6",,,
"Lambert, Peter","663567","93.2",,,"88.1","86.2","78",,,"82.6",
"Woo, Bryan","693433","95.1","95",,"87.6","89.7",,,,"83.2",
"Anderson, Chase","502624","93.3","92.6","89.2","83.8","83.9","77.6",,,"80.5",
"Scholtens, Jesse","669947","92.8",,,"85.4","85.4","74",,,,
"Brito, Jhony","666745","95.8","96",,"86.3","88.8","80.4",,,"82.4",
"Yarbrough, Ryan","642232","87","88.2","84.2",,"78.5","71.9",,,,
"Fujinami, Shintaro","660261","98.4",,"88.3","84.6",,"75.7","92.8",,"84.3",
"Syndergaard, Noah","592789","92.2","92.3","89.5","85","87.3","77.9","87.7",,,
"Bird, Jake","656234",,"94.4","89.7","86.3","87.3","81.7",,,,
"Henry, Tommy","674072","90.7",,,"83.1","84","79.1",,,,
"Junis, Jakob","596001","93.9","93.7",,"84.2","87.1",,,,,
"Bielak, Brandon","656232","92.1","92.1",,"82","87.1","79.5",,,,
"Williams, Gavin","668909","95.7",,,"84.9","88.2","76.2",,,,
"Winckowski, Josh","670174","96","96.3","88.9","85.8","92.9",,,,,
"Lively, Ben","594902","90.6","91.5","88.1","82","84.4","76.3",,,"80",
"Strahm, Matt","621381","93.4","93.2","87.4","83.1","86.5",,,,,
"Stratton, Chris","608717","93.1",,,"86.9","86.8","80.8",,,,
"Richards, Trevor","670950","92.8",,,,"82.5",,,,,
"Barria, Jaime","642545","93","92.2",,"85.9","84.6",,,,,
"Chirinos, Yonny","630023","92.9","92.4",,"88.8",,,"85",,,
"Marsh, Alec","679525","94.2","94.1",,"87.3","87","81.1",,,"85.4",
"Littell, Zack","641793","94.1","92.9",,"88.7",,,"84.3",,"80.5",
"Hudson, Dakota","641712","91.1","91.6",,"85.1","84.4","81.4",,,,
"Brash, Matt","666374","98.1","98.5","92","88.8","87.3","85.8",,,,
"Beck, Tristan","663941","94.7",,,"87.7","86.6","79.2",,,"82.2",
"Falter, Bailey","663559","90.7","90.7",,"84.5","84.6","76.5","85",,,
"Tonkin, Michael","543859",,"93.5",,"83.1",,,,,"79.9",
"Irvin, Cole","608344","92.2","91.9","85.5",,"84.2","77.2",,,,
"Blach, Ty","621389",,"89.3","83.7",,"79.9","78.9",,,,
"Montero, Rafael","606160","96.1","95.5",,"88.3","91.5",,,,,
"Hernández, Carlos","672578","99.1","98.1",,"88.6",,"84","89",,,
"Fried, Max","608331","94","93.4",,"86","86.2","74.2",,,"81.6",
"McGough, Scott","543518","93.5","93.7",,"86.6",,,"85.7",,,
"Bickford, Phil","641360","93.7",,,"83.9","87.5",,,,,
"Quintana, Jose","500779","90.2","90.4",,,"85.8","77.1",,,,"77.7"
"Merryweather, Julian","657240","98.1",,,"87.1","81.5",,,,"84.2",
"Farmer, Buck","571656","93.9",,,"83.1","87.8",,,,,
"Skubal, Tarik","669373","95.8","95.9",,"87.6","84.3","76.4",,,,
"Gibaut, Ian","664139","95.2",,"91.6",,"86",,,,"84.2",
"Abreu, Bryan","650556","97.6",,,"87.4",,"81.1",,,,
"Scott, Tanner","656945","96.8",,,"89.4",,,,,,
"López, Reynaldo","625643","98.2",,,"87.9","88.5","80.5",,,,
"Barlow, Scott","605130","93","93.2",,"83",,"78.6",,,,
"Holton, Tyler","663947","91.5","91.2","88","81.8","82.9","78.3",,,,
"Whitlock, Garrett","676477","94.6","94",,"81.8","82.7",,,,"79.6",
