"last_name, first_name","pitcher","ff_avg_speed","si_avg_speed","fc_avg_speed","sl_avg_speed","ch_avg_speed","cu_avg_speed","fs_avg_speed","kn_avg_speed","st_avg_speed","sv_avg_speed"
"Scherzer, Max","453286","94.4",,"88.7","85.2","83.9","78.4",,,,
"Verlander, Justin","434378","95",,"91.5","86.5","87.4","79.6",,,,
"Keuchel, Dallas","572971","89.7","89.1","86.4","78.7","79.6",,,,,
"Clevinger, Mike","605182","93.6",,,"79.5","87.6","75.4",,,,
"Cole, Gerrit","543037","96.5","96.3",,"88.7","87.7","82.5",,,,
"Freeland, Kyle","607536","91.8","90.6",,"85.8","85.5","79.9",,,,
"Gibson, Kyle","502043","93.1","92.9",,"85.4","85.6","80.7",,,,
"Nola, Aaron","605400","92.7","91.4",,,"84.8","78",,,,
"deGrom, Jacob","594798","96","95.5",,"91.1","89","82.7",,,,
"Shields, James","448306","89.5","89","86.4",,"83.4","78.2",,,,
"Severino, Luis","622663","97.6",,,"88.1","88.1",,,,,
"Corbin, Patrick","571578","90.8","90.8",,"81.7","81","72.5",,,,
"Greinke, Zack","425844","89.5","90",,"83.4","86.5","71.2",,,,
"Márquez, Germán","608566","95.4","94.1",,"85.5","85.7","82",,,,
"Lester, Jon","452657","91","90.2","88.1",,"84.9","74.8",,,,
"Porcello, Rick","519144","91.3","89.8",,"86","81.4","74.8",,,,
"López, Reynaldo","625643","95.5","93.5",,"83.9","83.6","75.9",,,,
"Kluber, Corey","446372","92","92","88.5",,"85.2","83.8",,,,
"Hamels, Cole","430935","92.4","91.4","87.5","85","83.4","78.8",,,,
"Happ, J.A.","457918","92.3","90.4",,"85.3","86","75.9",,,,
"Hendricks, Kyle","543294","87.3","86.6",,,"78.6","71.8",,,,
"Foltynewicz, Mike","592314","96.3","96.5",,"86.7","87.8","80",,,,
"González, Gio","461829","90.1","89.3",,,"82.7","75.7",,,,
"Godley, Zack","643327","89.2","89.9","88.9",,"81.1","81.4",,,,
"Chacín, Jhoulys","468504","89.9","90.2",,"79.3","82.7","73.3","86.1",,,
"Giolito, Lucas","608337","92.4","92.4",,"83.9","81.7","78.6",,,,
"Mikolas, Miles","571945","94.1","93.5",,"88","88.4","78.5",,,,
"Gausman, Kevin","592332","93.6",,,"81.4","82",,"82.7",,,
"Berríos, José","621244","93.4","92.8",,,"83.7","72.2",,,,"81.7"
"Odorizzi, Jake","543606","91.1",,"86.4","83.3",,"72.6","84.2",,,
"Roark, Tanner","543699","91.5","91.4","89.3","85","83.4","74.7",,,,
"Taillon, Jameson","592791","95.2","95.2",,"89.8","87.9","82.2",,,,
"Lynn, Lance","458681","93.7","92.3","87.4",,"85.3","80",,,,
"Newcomb, Sean","656794","93",,,"80.5","86.3","76.8",,,,
"Snell, Blake","605483","95.8",,,"88","87.5","81.3",,,,
"Holland, Derek","502706",,"91.5",,"80.9","82.9","78.4",,,,
"Quintana, Jose","500779","91.5","91.5",,,"86.3","76.1",,,,"76.3"
"Wheeler, Zack","554430","95.8","96.1","90.9",,"88.1","79.3","89.7",,,
"Carrasco, Carlos","471911","93.7","93",,"83.9","88","81.6",,,,
"Boyd, Matthew","571510","90.5","90.1",,"80.5","78.6","72.1",,,,
"Bauer, Trevor","545333","94.5","94.4","86.7","83.1","87","79.1",,,"81.9",
"Anderson, Tyler","542881","91.9","91.1","87.6",,"81.2","73.7",,,,
"Junis, Jakob","596001","91.3","90.6",,"82.2","84.7","79.1",,,,
"Bundy, Dylan","605164","91.6","91.5",,"81.4","83.7","74.5",,,,
"Pivetta, Nick","601713","94.8","94.7",,"84.9","87.1","80",,,,
"Teheran, Julio","527054","89.9","89.4",,"80.2","82.6","72.5",,,,
"Leake, Mike","502190","89.1","88.8","87.3","80.2","83.7","78.4",,,,
"Gray, Jon","592351","94.7","95",,"87.8","86.3","79.6",,,,
"Duffy, Danny","518633","93","93.3",,"83.3","83.6","76.2",,,,
"Castillo, Luis","622491","95.8","95.6",,"83.6","86.2",,,,,
"Ureña, José","570632","95.6","95.8",,"86.4","89.9","84.8",,,,
"Arrieta, Jake","453562","92.4","93",,"89.4","88","80.7",,,,
"Heaney, Andrew","571760",,"91.9",,,"83.3","78.6",,,,
"Williams, Trevor","592866","91.1","88.6",,"81.4","83.2","75.5",,,,
"Price, David","456034","92.7","92.7","88.6",,"85.3","79.1",,,,
"Matz, Steven","571927","93.6","93.4",,"88.2","84.1","78.5",,,,
"Morton, Charlie","450203","96.1","95.1","88.3",,,"79.7","87.3",,,
"Fiers, Mike","571666","89.4","89.2",,"85.2","83.3","72.4",,,,
"Cashner, Andrew","488768","93","91.9",,"85.7","83.7","81",,,,
"Anderson, Chase","502624","92.5","91.9","88.6",,"82.1","76.7",,,,
"Paxton, James","572020","95.4",,"89",,"86.5","81.1",,,,
"Flaherty, Jack","656427","93.2","91.1",,"83.6","85.3","77.2",,,,
"Gonzales, Marco","594835","90.1",,"87.1",,"83.6","78.1",,,,
"Hernández, Félix","433587","89.6","89.2","85.2","82.5","84.9","78.9",,,,
"Minor, Mike","501985","92.8","92.7",,"87.3","85.8","80.5",,,,
"Harvey, Matt","518774","93.8","94.2",,"88.5","87.1","82.9",,,,
"Nova, Iván","467100","93","92.7",,,"86.5","80.6",,,,
"Sale, Chris","519242","95.2","93.2",,"79.7","87",,,,,
"Sabathia, CC","282332","90.2","90.1","89.1","80","83.4",,,,,
"Archer, Chris","502042","94.6","94.8",,"87.9","87.6","81.9",,,,
"Estrada, Marco","462136","88.5",,"84.9",,"76.8","76.6",,,,
"Ross, Tyson","475115","90.8","91","89.4","84.6","86.6",,,,,
"Suárez, Andrew","605498","92.2","92",,"88.5","85.9","76.8",,,,
"Velasquez, Vince","592826","94","92.5",,"84.9","87.8","81.4",,,,
"Stratton, Chris","608717","91.1","90.7","91","83.5","84","77.7",,,,
"LeBlanc, Wade","453281","86.2","86.3","83.4","77.7","77.7","72.5",,,,
"Wood, Alex","622072","90.4","89.9",,,"83.7","82.4",,,,
"Cobb, Alex","502171","92.5","91.9",,,,"81.6","86.5",,,
"Syndergaard, Noah","592789","97.6","97.3",,"92","90.3","83.1",,,,
"Tanaka, Masahiro","547888","91.8","90.6","89","83.4",,"76.9","86.8",,,
"Yarbrough, Ryan","642232","89.3","89.8","87",,"81.2","76.6",,,,
"Romano, Sal","607219","93.9","94.1",,"86.8","87.7","82.5",,,,
"Weaver, Luke","596133","93.7","92.1","87",,"85.4","80.8",,,,
"Richard, Clayton","453385","90.3","90",,"80.8","84.3",,,,,
"Kershaw, Clayton","477132","90.8","91.1",,"88.1","84.8","72.9",,,,
"Manaea, Sean","640455",,"90.4",,"78.1","82.4","75.9",,,,
"Rodriguez, Eduardo","593958","93.3","93.2","88.6","83.6","87.4",,,,,
"Guerra, Junior","448855","93.1","93.4",,"83.8",,"82.2","86.6",,,
"Ray, Robbie","592662","93.6","93.8",,"84.5",,"82.6",,,,
"Liriano, Francisco","434538","91.9","92",,"84.5","85.4","77",,,,
"Gray, Sonny","543243","93.3","93","89.2","84.6","88.5","82",,,"85",
"Keller, Brad","641745","94.3","93.1",,"85.6","88.5",,,,,
"Richards, Trevor","670950","90.7",,,"80.5","82.9",,,,,
"Colon, Bartolo","112526","89.3","86.9","85.5","80.5","80.8",,,,,
